"Item Name","Sales Category","Menu Category","Quantity","Sales","Voids"
"Lunch Pasta Of Day","Food","Lunch","8.00","114.00","0.00"
"Lunch Penne Boscaiola","Food","Lunch","5.00","69.19","0.00"
"Lunch Pork Jaeger","Food","Specialities","4.00","60.00","0.00"
"Lunch Pork Marsala","Food","Specialities","1.00","15.00","0.00"
"Lunch Puttanesca","Food","Lunch","1.00","13.00","0.00"
"Lunch Smk Chik Ravioli","Food","Lunch","3.00","42.00","0.00"
"Lunch Spaghetti Bolognese","Food","Lunch","1.00","13.00","0.00"
"Lunch Spaghetti Meatballs","Food","Lunch","2.00","14.00","0.00"
"Lunch Veal Marsala","Food","Specialities","1.00","15.00","0.00"
"Lyric Pinot Noir Bottle","Wine","Red Bottle","2.00","36.00","36.00"
"Lyric Pinot Noir Glass","Wine","Red Glass","14.00","130.50","0.00"
"Macallan 12","Alcohol","Scotch Cognac","1.00","12.25","0.00"
"Maison","Food","Soup n Salad","1.00","8.00","0.00"
"Manhattan","Alcohol","Cocktails","8.00","68.25","0.00"
"Margarita","Alcohol","Cocktails","1.00","5.00","0.00"
"Martini","Alcohol","Cocktails","22.00","173.50","0.00"
"Mich Ultra","Beer","Beer","5.00","16.80","0.00"
"Milk","Non Alcoholic","Beverage","1.00","2.25","0.00"
"Miller Lite","Beer","Beer","4.00","12.25","0.00"
"Mimosa","Alcohol","Cocktails","5.00","25.00","0.00"
"Mushroom Caps","Food","Starter","5.00","48.00","0.00"
"Mussels","Food","Starter","3.00","28.00","14.00"
"Nino Franco Prosecco Glass","Wine","Spark Glass","1.00","8.00","0.00"
"Oberon Cab Bottle","Wine","Red Bottle","2.00","76.00","0.00"
"Oberon Cab Glass","Wine","Red Glass","8.00","80.50","0.00"
"Open Liquor","Alcohol","Liqueurs","1.00","9.00","0.00"
"Patron Silver","Alcohol","Rum Tequila","1.00","9.00","0.00"
"Pecan Caramel Fudge Pie","Food","Desserts","9.00","53.13","0.00"
"Penne Bolognese","Food","Pasta","3.00","50.00","0.00"
"Penne Boscaiola","Food","Pasta","4.00","70.00","0.00"
"Pepsi ","Non Alcoholic","Beverage","7.00","15.62","0.00"
"Peroni","Beer","Beer","8.00","40.00","0.00"
"Petite Filet","Food","Entree","22.00","480.20","0.00"
"Pork Tenderloin","Food","Entree","1.00","20.00","0.00"
"Port Wine","Wine","Red Glass","1.00","6.00","0.00"
"Promessa P.G. Bottle","Wine","White Bottle","1.00","28.00","0.00"
"Promessa P.G. Glass","Wine","White Glass","14.00","104.00","0.00"
"Prosciutto & Figs","Food","Starter","6.00","60.00","0.00"
"Querceto Chianti Bottle","Wine","Red Bottle","2.00","56.00","0.00"
"Querceto Chianti Glass","Wine","Red Glass","4.00","28.00","0.00"
"R. Pre Macon Villages Glass","Wine","White Glass","6.00","48.00","0.00"
"Raspberry Limoncello Prosecco","Alcohol","Cocktails","7.00","56.00","0.00"
"Reverdy Savignon Blanc Bottle","Wine","White Bottle","1.00","44.00","0.00"
"S.T.A. Monkeynaut","Beer","Beer","3.00","13.50","0.00"
"Salad In A Jar Garden","Food","Soup n Salad","4.00","20.00","0.00"
"Salad In A Jar Greek","Food","Soup n Salad","7.00","32.40","0.00"
"Salmon","Food","Entree","6.00","94.20","0.00"
"Salmon Benedict","Food","Brunch","2.00","32.00","0.00"
"San Pellegrino","Non Alcoholic","Beverage","1.00","3.00","0.00"
"Scallop App","Food","Starter","8.00","98.00","0.00"
"Shrimp & Grits","Food","Brunch","1.00","16.00","0.00"
"Shrimp & Tomatoes","Food","Pasta","7.00","121.00","0.00"
"Shrimp And Scallop Capellini","Food","GS Pasta","1.00","15.00","0.00"
"Shrimp Juno","Food","Starter","7.00","78.13","13.00"
"Shrimp Scampi App","Food","Starter","1.00","14.00","0.00"
"Sierra Mist","Non Alcoholic","Beverage","3.00","6.19","0.00"
"Smoked Chicken Ravioli","Food","GS Pasta","2.00","28.50","0.00"
"Soup Of Day Bowl","Food","Soup n Salad","3.00","21.00","0.00"
"Soup Of Day Cup","Food","Soup n Salad","7.00","30.05","0.00"
"Spaghetti Bolognese","Food","Pasta","5.00","80.00","0.00"
"Spaghetti Meatballs","Food","Pasta","9.00","153.00","0.00"
"Stella Artois Lager","Beer","Beer","4.00","20.00","0.00"
"Tamari Cab Bottle","Wine","Red Bottle","1.00","0.00","0.00"
"Tamari Cab Glass","Wine","Red Glass","12.00","77.13","0.00"
"Tangley Oaks Merlot Bottle","Wine","Red Bottle","2.00","48.00","0.00"
"Tanqueray","Alcohol","Vodka Gin","2.00","13.00","0.00"
"Tennessee Cheese Cake","Food","Desserts","7.00","35.00","14.00"
"Terlato Bt","Wine","White Bottle","1.00","34.00","0.00"
"Terlato PG glass","Wine","White Glass","2.00","18.00","0.00"
"Tiramisu","Food","Desserts","9.00","56.00","0.00"
"Titos","Alcohol","Vodka Gin","2.00","14.00","0.00"
"Unsweet Tea","Non Alcoholic","Beverage","6.00","13.50","0.00"
"Veal Marsala","Food","Entree","5.00","97.00","0.00"
"Veal Picatta","Food","Entree","10.00","188.00","0.00"
"Velvet Devil Glass","Wine","Red Glass","11.00","74.00","0.00"
"Villa Sandi Prosecco Glass","Wine","Spark Glass","3.00","12.06","0.00"
"Vino Rose","Wine","White Bottle","1.00","24.00","0.00"
"Vino Rose","Wine","White Glass","4.00","23.00","0.00"
"Vodka","Alcohol","Vodka Gin","1.00","5.25","5.25"
"Waffle Breakfast","Food","Brunch","2.00","30.00","0.00"
"White Port","Alcohol","Liqueurs","1.00","10.00","0.00"
"Whitehaven Bottle","Wine","White Bottle","4.00","112.00","0.00"
"Whitehaven Glass","Wine","White Glass","13.00","94.50","0.00"
"Xavier CDR Glass","Wine","Red Glass","6.00","55.00","0.00"
"Xavier CDR bottle","Wine","Red Bottle","1.00","28.00","0.00"
"Yuengling","Beer","Beer","3.00","4.00","0.00"
"REPORT SUMMARY (191 entries)","","","1,087.00","11,685.52","209.25"
